etablissement_id_paysage;uo_lib;nom_court;sigle;type_d_etablissement;typologie_d_universites_et_assimiles;secteur_d_etablissement;localisation;LAT;LONG;uai;anciens_codes_uai;identifiant_wikidata;date_creation;texte_de_ref_creation_lib;texte_de_ref_creation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;reg_id_old;reg_nom_old;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2010;inscrits_2011;inscrits_2012;inscrits_2013;inscrits_2014;inscrits_2015;inscrits_2016;inscrits_2017;inscrits_2018;inscrits_2019;inscrits_2020;inscrits_2021;inscrits_2022
CUBKB;Université Lumière - Lyon 2;Lyon II;;Université;Université tertiaire - lettres et sciences Humaines;public;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 7e;45.75061375319093;4.837181568145753;0691775E;;Q4041;28/07/1973;Décret no 73-738 du 26 juillet 1973 portant création des universités Lyon-II et Lyon-III;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000500622/;69387;Lyon 7e;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;18 quai Claude Bernard;;;69365;Lyon Cedex 07;France;26457;25964;26919;26779;27347;27358;27176;26462;27502.0;26998.0;27092.0;26900.0;25268.0
pVJpw;Université de Mayotte;;;Université;Université pluridisciplinaire hors santé;public;Mayotte>Dembeni;-12.84547;45.18741;9760358K;;Q2946102;15/10/2011;;;97607;Dembeni;UU9F306;Dembeni;D976;Mayotte;A43;Mayotte;R06;Mayotte;R06;Mayotte;;Route nationale 3;;BP 53;97660;Dembeni;France;;;607;719;801;1048;1048;1027;1036.0;1123.0;1256.0;1335.0;1359.0
NAzKJ;École de management de Normandie;EM Normandie;EMN;École;;privé;Normandie>Seine-Maritime>Le Havre;49.48939;0.12522;0760168V;;Q3577891;1871;;;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;20 quai Frissard;;;76600;Le Havre;France;;;;;;;;;;;;;
CYH3t;École nationale supérieure d'architecture de Clermont-Ferrand;ENSACF;;École;;public;Auvergne-Rhône-Alpes>Clermont-Ferrand>Puy-de-Dôme>Clermont-Ferrand;45.80157;3.10341;0631287G;;Q3578176;;;;63113;Clermont-Ferrand;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R84;Auvergne-Rhône-Alpes;R83;Auvergne;;85 rue du Docteur Bousquet;;;63100;Clermont-Ferrand;France;;;;;;;;;;;;;
WaB2p;École nationale supérieure d'architecture de Normandie;Ensa de Normandie;ENSAN;École;;public;Normandie>Seine-Maritime>Rouen>Darnétal;49.43767;1.1373;0760164R;;Q3578182;;;;76212;Darnétal;UU00755;Rouen;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;27 rue LUCIEN FROMAGE;;BP 04;76161;DARNETAL CEDEX;France;;;;;;;;;;;;;
G8QBG;Sciences Po Aix;IEP d'Aix-en-Provence;IEP Aix;Autre établissement;;public;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille-Aix-en-Provence>Aix-en-Provence;43.53146;5.44663;0130221V;;Q1139065;31/03/1956;Décret du 27 mars 1956 Création, composition de l'Institut d'études politiques de l'Université d'Aix-Marseille;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000492723/;13001;Aix-en-Provence;UU00759;Marseille-Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;25 rue Gaston de Saporta;;;13625;Aix-en-Provence CEDEX 1;France;1838;1727;1678;1807;1841;1634;1587;1599;1514.0;1616.0;1581.0;1682.0;1696.0
DOunC;Sciences Po Bordeaux;IEP de Bordeaux;IEP Bordeaux;Autre établissement;;public;Nouvelle-Aquitaine>Bordeaux>Gironde>Bordeaux>Pessac;44.79886;-0.61409;0330192E;;Q1252062;06/05/1948;;;33318;Pessac;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R75;Nouvelle-Aquitaine;R72;Aquitaine;Domaine Universitaire;11 allée Ausone;;;33607;Pessac CEDEX;France;1765;1810;1735;1903;1839;1832;1874;1969;2060.0;2218.0;2217.0;2275.0;2297.0
15kV5;Institut national du sport, de l'expertise et de la performance;;INSEP;Grand établissement;;public;Île-de-France>Paris>Paris 12e;48.833495221568754;2.454103231430054;0752559Z;;Q3152447;1975;;;75112;Paris 12e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;11 avenue du Tremblay;;;75012;Paris;France;;;;;;;;;;;;;
kYR50;Institut polytechnique de Paris;IP Paris;;École;;public;Île-de-France>Versailles>Essonne>Paris>Palaiseau;48.71317;2.21022;0912403T;;Q48759778;03/06/2019;Décret n° 2019-549 du 31 mai 2019 portant création de l'établissement public expérimental Institut polytechnique de Paris et approbation de ses statuts;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000038535183/;91477;Palaiseau;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;R11;Île-de-France;;Route de Saclay;;;91128;Palaiseau CEDEX;France;;;;;;;;;;;;;
1v4lV;Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt;PSPBB;;École;;public;Île-de-France>Paris>Paris 8e;48.878516;2.320699;0755448P;;Q30263695;;;;75108;Paris 8e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;14 Rue de Madrid;;;75008;Paris;France;;;;;;;;;;;;;
